ontology,subsystem,sensor,parameter,hrf_unit,hrf_minval,hrf_maxval,datasheet
/sensing/air_quality/gases/co,chemsense,co,concentration,ppm,0,1000,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/co.pdf
/sensing/air_quality/gases/h2s,chemsense,h2s,concentration,ppm,0,50,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/h2s.pdf
/sensing/air_quality/gases/no2,chemsense,no2,concentration,ppm,0,20,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/no2.pdf
/sensing/air_quality/gases/o3,chemsense,o3,concentration,ppm,0,20,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/o3.pdf
/sensing/air_quality/gases/oxidizing_gases,chemsense,oxidizing_gases,concentration,ppm,0,100,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense
/sensing/air_quality/gases/reducing_gases,chemsense,reducing_gases,concentration,ppm,0,20,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense
/sensing/air_quality/gases/so2,chemsense,so2,concentration,ppm,0,20,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/so2.pdf
/sensing/air_quality/particulates/particle_count,alphasense,opc_n2,bins,counts,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf
/sensing/air_quality/particulates/particle_count,plantower,pms7003,10um_particle,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/air_quality/particulates/particle_count,plantower,pms7003,1um_particle,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/air_quality/particulates/particle_count,plantower,pms7003,2_5um_particle,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/air_quality/particulates/particle_count,plantower,pms7003,5um_particle,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/air_quality/particulates/particle_count,plantower,pms7003,point_3um_particle,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/air_quality/particulates/particle_count,plantower,pms7003,point_5um_particle,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/air_quality/particulates/pm_1,alphasense,opc_n2,pm1,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf
/sensing/air_quality/particulates/pm_1,plantower,pms7003,pm1_atm,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/air_quality/particulates/pm_10,alphasense,opc_n2,pm10,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf
/sensing/air_quality/particulates/pm_10,plantower,pms7003,pm10_atm,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/air_quality/particulates/pm_2_5,alphasense,opc_n2,pm2_5,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/opc/opcN2.pdf
/sensing/air_quality/particulates/pm_2_5,plantower,pms7003,pm25_atm,μg/m^3,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/plantower/pms7003.pdf
/sensing/meteorology/humidity,metsense,hih4030,humidity,RH,0,100,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu4030.pdf
/sensing/meteorology/humidity,metsense,htu21d,humidity,RH,0,100,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf
/sensing/meteorology/pressure,metsense,bmp180,pressure,hPa,300,1100,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/bmp180.pdf
/sensing/meteorology/temperature,metsense,bmp180,temperature,C,-40,85,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/bmp180.pdf
/sensing/meteorology/temperature,metsense,htu21d,temperature,C,-40,125,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf
/sensing/meteorology/temperature,metsense,pr103j2,temperature,C,-55,80,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/pr103j2.pdf
/sensing/meteorology/temperature,metsense,tmp112,temperature,C,-40,125,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/tmp112.pdf
/sensing/meteorology/temperature,metsense,tsys01,temperature,C,-40,125,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/tsys01.pdf
/sensing/physical/audio/spl,audio,microphone,octave_1_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_10_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_2_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_3_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_4_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_5_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_6_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_7_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_8_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_9_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/audio/spl,audio,microphone,octave_total_intensity,dB,,140,https://github.com/waggle-sensor/plugin_manager/tree/master/plugins/audio_spl
/sensing/physical/ir,lightsense,tsl260rd,intensity,uW/cm^2,0,132,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/tsl260rd.pdf
/sensing/physical/light,lightsense,apds_9006_020,intensity,lux,0,1000,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/apd9006020.pdf
/sensing/physical/light,lightsense,mlx75305,intensity,uW/cm^2,0,160,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/mlx75305c.pdf
/sensing/physical/light,lightsense,tsl250rd,intensity,uW/cm^2,0,124,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/tsl250rd.pdf
/sensing/physical/magnetic_field,lightsense,hmc5883l,magnetic_field_x,mG,-8000,8000,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hmc5883l.pdf
/sensing/physical/magnetic_field,lightsense,hmc5883l,magnetic_field_y,mG,-8000,8000,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hmc5883l.pdf
/sensing/physical/magnetic_field,lightsense,hmc5883l,magnetic_field_z,mG,-8000,8000,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hmc5883l.pdf
/sensing/physical/sound_level,metsense,spv1840lr5h_b,intensity,dB,0,121,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/spv1840lr5h-b.pdf
/sensing/physical/uv,lightsense,ml8511,intensity,uW/cm^2,0,15,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/ml8511.pdf
/sensing/physical/vibration,metsense,mma8452q,acceleration_x,mg,-8000,8000,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/mma8452q.pdf
/sensing/physical/vibration,metsense,mma8452q,acceleration_y,mg,-8000,8000,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/mma8452q.pdf
/sensing/physical/vibration,metsense,mma8452q,acceleration_z,mg,-8000,8000,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/mma8452q.pdf
/system/edge_processor/loadavg,ep,loadavg,load_1,load,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/edge_processor/loadavg,ep,loadavg,load_10,load,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/edge_processor/loadavg,ep,loadavg,load_5,load,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/edge_processor/memory_usage,ep,mem,free,bytes,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/edge_processor/memory_usage,ep,mem,total,bytes,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/edge_processor/uptime,ep,uptime,idletime,s,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/edge_processor/uptime,ep,uptime,uptime,s,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/environment/humidity,lightsense,hih6130,humidity,RH,0,100,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hih6130.pdf
/system/environment/ir,chemsense,si1145,ir_intensity,uW/cm^2,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/si1145.pdf
/system/environment/light,chemsense,si1145,visible_light_intensity,uW/cm^2,0,,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/si1145.pdf
/system/environment/temperature,lightsense,hih6130,temperature,C,-25,85,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/hih6130.pdf
/system/environment/humidity,wagman,htu21d,humidity,RH,0,100,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf
/system/environment/temperature,wagman,htu21d,temperature,C,-40,125,https://github.com/waggle-sensor/sensors/blob/master/sensors/airsense/htu21d.pdf
/system/environment/temperature,wagman,temperatures,battery,C,-55,125,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/environment/temperature,wagman,temperatures,brainplate,C,-55,125,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/environment/temperature,wagman,temperatures,ep_heatsink,C,-55,125,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/environment/temperature,wagman,temperatures,nc_heatsink,C,-55,125,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/environment/temperature,wagman,temperatures,powersupply,C,-55,125,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/environment/temperature,lightsense,tmp421,temperature,C,-55,127,https://github.com/waggle-sensor/sensors/blob/master/sensors/lightsense/tmp421.pdf
/system/environment/uv,chemsense,si1145,uv_intensity,uW/cm^2,,,https://github.com/waggle-sensor/sensors/blob/master/sensors/chemsense/si1145.pdf
/system/node_controller/loadavg,nc,loadavg,load_1,load,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/node_controller/loadavg,nc,loadavg,load_10,load,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/node_controller/loadavg,nc,loadavg,load_5,load,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
/system/node_controller/memory_usage,nc,mem,free,bytes,0,,https://github.com/waggle-sensor/core/blob/master/scripts/status-service
