
 node_id          | date
------------------+------------
     001e06117b41 | 2019-01-12
     001e0610c040 | 2018-08-08
     001e0610ef29 | 2018-06-14
     001e0610f732 | 2018-05-26
     001e061144cd | 2018-07-10
     001e0611536c | 2019-05-23
     001e06115363 | 2018-02-08
     001e06112e77 | 2018-06-14
     001e06109416 | 2018-09-26
     001e0610c2df | 2018-01-27
 0000001e0610bbe9 | 2017-01-04
     02000000000e | 2018-02-25
     001e06109401 | 2018-03-12
     001e0610fc2d | 2019-03-01
     001E0610E34E | 2018-06-11
 0000001e0610ba37 | 2017-01-05
     001E0610BA13 | 2019-03-07
     001e0610ee61 | 2018-10-23
     001e06113d78 | 2019-04-30
     001E06200162 | 2018-11-04
     001e06113acb | 2018-03-04
     001e061182a5 | 2019-01-30
     001e06113cff | 2018-05-16
     001e061146ba | 2018-09-03
     020000000005 | 2017-10-19
     001e0610f068 | 2018-05-21
     001e061146d6 | 2018-04-25
     001e0610c219 | 2018-04-03
 0000001e06107d70 | 2017-07-29
     001e06113a07 | 2018-09-21
     001e06114503 | 2019-03-18
     001e0610ba15 | 2019-04-23
     02000000000f | 2018-03-16
     001e0611536c | 2018-08-26
     001e0610ee82 | 2018-03-06
 0000001e0610ba01 | 2018-07-21
     020000000006 | 2017-11-16
     001e0610bc12 | 2019-02-24
     001e061144cd | 2018-07-25
     001e0611462f | 2018-07-15
     001E0610BA8B | 2018-09-09
     001e0610eb9d | 2017-10-17
     001e06112e77 | 2018-07-31
     001e0610c2ed | 2017-12-04
     001e0610f668 | 2017-09-23
     001e0610bc09 | 2018-09-10
     001e061183f5 | 2019-01-21
     001e061080a7 | 2018-02-17
     001e061181b9 | 2019-04-16
     001e0610ba8f | 2018-04-23
     001e0611537d | 2018-05-30
     001e0610f732 | 2019-03-08
     001e0610ee33 | 2017-10-27
     001E0610BA8F | 2019-03-11
     001e06114503 | 2018-11-17
     001e0611538f | 2018-04-06
     001e0610ee61 | 2018-10-18
     02000000000f | 2018-03-08
     001e0610fb4c | 2018-02-23
     001e0610f72c | 2018-10-30
     001e0610ba57 | 2018-05-02
     001e0610ba15 | 2019-02-16
     001E0610E34E | 2018-06-15
     001e0610ee5d | 2018-08-17
 0000001e0610ba16 | 2017-07-29
     001e0610eef4 | 2019-03-21
     001e0611441e | 2018-07-09
     001e06115365 | 2018-04-20
     001e0610f05c | 2019-03-13
     001e06118178 | 2019-05-18
     001e0610f02f | 2018-12-22
     001e0610bc12 | 2019-01-25
     001e061146cb | 2019-01-26
     001e0610941b | 2018-05-03
     001e0610bc12 | 2018-05-31
     001e06109f62 | 2018-09-27
     001e0610fb49 | 2017-12-26
     001e06113d20 | 2018-09-12
     001e0610c06b | 2018-03-08
     001e0610bc10 | 2018-10-23
     001e0610ba8d | 2019-02-22
     001e061182b5 | 2019-02-14
     020000000007 | 2018-01-31
     001e0610ee55 | 2017-10-16
     001e0610c2df | 2018-01-20
 0000001e06107d6b | 2016-11-22
     001e0610c2ed | 2017-11-19
     001e0610f6db | 2019-03-25
     001e06117f32 | 2019-05-06
     001e061182a8 | 2019-03-22
     001e06109401 | 2018-12-04
 0000020000000008 | 2017-08-30
     001e0611462f | 2018-04-13
     001e06107cc5 | 2019-04-17
     001e06113107 | 2018-03-03
     001e06118366 | 2019-04-09
     001E0610BA3B | 2018-09-15
     001e0610ba8d | 2017-11-21
 0000001e06108a8a | 2017-07-13
     001e0610ee43 | 2018-11-06
     001e06118296 | 2019-01-07
     001e0610ee38 | 2017-09-26
     001e0610e809 | 2018-09-20
     001E0610BA8F | 2018-07-04
 0000001e0610b9fd | 2017-01-06
     020000000005 | 2018-02-06
     001e061146ba | 2018-06-10
     001e0610b9e5 | 2018-05-10
     001e0610c040 | 2018-10-11
     001e0610ee61 | 2017-10-11
     001e061146cb | 2018-03-10
     001e0610b9e5 | 2018-11-02
     001e0610890f | 2018-06-06
     001E0610BBE5 | 2018-08-01
     001e06113d20 | 2019-03-22
     020000000008 | 2017-12-15
 0000001e0610c2e9 | 2019-01-29
 0000001e0610c2e9 | 2018-11-19
 0000001e0610b9f6 | 2017-06-12
     001e0610ba8b | 2018-07-25
     001e0610c2e9 | 2018-04-05
     001e0610eef2 | 2018-02-28
     001e061135c8 | 2018-01-18
     001e0610ba46 | 2018-11-16
     001e061182af | 2019-05-14
     001e0610f72c | 2018-06-14
     001e0610c2df | 2017-09-27
     001e0610f72c | 2018-01-20
     001e0610ef73 | 2018-06-30
 0000001e0610ba37 | 2017-03-09
     001E0610BA13 | 2019-03-14
     001e0610c2dd | 2018-11-27
     001e06117b40 | 2019-01-20
     001e0610f02f | 2018-06-15
 0000001e06107d6b | 2017-01-08
 0000020000000008 | 2019-02-03
     001e0610ba8b | 2018-09-02
     001e0610f8f4 | 2018-10-26
 0000001e061089e5 | 2017-06-12
     001e0610ba16 | 2018-12-15
     001e061144be | 2018-05-30
     001e061146cb | 2018-07-07
     001e0610ee5d | 2018-12-18
     001e0610ee33 | 2019-02-28
     001e0610fb4c | 2018-08-24
     001e0610f72c | 2018-12-14
     001e0610e809 | 2017-12-06
     001e0610ba46 | 2018-09-16
     001e061146bc | 2018-12-25
     001e0610e537 | 2018-10-05
     001e0610ee41 | 2018-10-26
     001e061135cb | 2019-01-10
     001e061146ba | 2019-02-16
     001e0610ee8d | 2018-05-10
     001e0610c2e5 | 2019-02-19
 0000001e0610ba89 | 2017-07-15
     001e06114503 | 2018-11-27
     001e0610f703 | 2018-04-03
 0000020000000008 | 2018-05-14
     001e0610c2eb | 2018-01-19
     001e06113107 | 2018-07-19
     001e0610c06b | 2018-01-30
     001e061184e5 | 2019-01-16
     001e061146d4 | 2018-05-09
     001e0610ba15 | 2019-05-29
     001e0610c2e5 | 2018-03-07
     001e061144c0 | 2018-09-29
     001e0610c5fa | 2018-04-26
     001e06109401 | 2018-03-21
     001e0610f72c | 2018-09-10
     001e061135cb | 2018-04-03
     001e0610ee43 | 2018-06-19
     001E0610BA8F | 2018-05-05
     001e0610f71f | 2017-12-06
     001e0610e540 | 2018-02-17
     001e061135cb | 2017-12-22
     001e0610bc12 | 2019-04-11
     001e0610f8f4 | 2018-06-01
     001e0610ba46 | 2018-10-20
 0000001e0610b9f2 | 2017-01-06
     001e0610c2dd | 2017-12-04
     001e0610ee38 | 2019-02-19
     001e0610c046 | 2019-05-01
 0000001e0610b9e7 | 2017-02-25
     001e06113dbc | 2018-04-13
     001e0610bc10 | 2018-04-26
     001e0610ba8b | 2018-04-27
     001e0611441e | 2018-10-10
     001e0610ee36 | 2018-07-06
     001E06107C9E | 2018-05-09
     001e0610ee41 | 2017-11-15
     001e06113f54 | 2019-01-24
     001e06113d83 | 2018-04-07
     001e061182a1 | 2019-01-14
     001e061089e5 | 2017-11-19
 0000001e06107d97 | 2017-04-16
     001E0610BBF9 | 2019-01-12
     001e0610ba67 | 2018-09-30
     001e061183eb | 2018-12-24
     001e0610c216 | 2018-11-16
     001E06200162 | 2019-03-16
     001e061089e5 | 2017-11-20
     001e0610bc12 | 2019-03-09
     001e0610ee61 | 2018-04-09
     001e06112e77 | 2018-08-10
     001e0610c040 | 2019-01-25
     001e061144cd | 2018-06-19
     001e0610fb4c | 2018-03-31
     001e0610889b | 2017-10-09
     001e0610f068 | 2018-04-07
     001e0610f513 | 2018-04-25
     001e0610f730 | 2018-05-07
     001e06114fd4 | 2018-05-17
     001e0610fb4c | 2018-12-26
     001e0610f05c | 2019-03-26
     001e0610ee61 | 2018-05-01
     001e06118178 | 2019-05-25
     001e061146ba | 2018-08-30
     001e06114fd4 | 2018-07-18
     001e0610ef0e | 2018-12-19
     001e0610c2ed | 2017-10-13
     001e0610eef4 | 2018-01-16
     001e0610ba46 | 2019-01-08
     001e0610e835 | 2018-05-18
     001e0610ee61 | 2018-08-08
     001e061146bc | 2018-10-05
     001e061130f4 | 2019-02-02
     001e0610eef4 | 2018-04-12
     001e0610ba46 | 2018-06-29
     001e0610bc10 | 2018-11-21
     001e0610c042 | 2017-12-27
     001e06113d83 | 2018-04-01
     001e0610f02f | 2018-10-24
     001e06118435 | 2018-12-30
     001e0610c2d7 | 2018-03-06
     001e06114503 | 2019-01-01
     001e061088a6 | 2017-12-06
     001e061130f4 | 2018-07-23
     001e0610fc2d | 2019-02-01
     001E0610BBF9 | 2018-09-08
     001e0610e8cb | 2018-05-01
     001e0610ee36 | 2018-05-09
     001e0610ba3b | 2017-11-11
     001e0610889b | 2017-10-15
     001e06113cf1 | 2018-04-24
     001e0610c5fa | 2018-04-15
     001e0611805a | 2019-02-12
     001e0610bc10 | 2019-01-17
 0000001e0610c2e9 | 2018-05-30
     001E0610BA3B | 2018-06-27
     001e0610f72c | 2019-01-31
     001e061130f4 | 2019-04-14
     001e06113ace | 2018-10-21
     001e061182b5 | 2019-02-25
     001e0610eb9d | 2018-03-23
     001e061146bc | 2019-03-24
 000002000000000f | 2018-05-19
     001e0610ee43 | 2018-12-24
     001e0610f703 | 2018-07-29
     001e0610ba46 | 2019-02-09
     001e0611536c | 2019-05-27
     001e0610c2e1 | 2019-01-27
     02000000000e | 2017-10-13
     001e061183bb | 2019-02-25
     001e06107cc5 | 2018-12-05
     001e06113acb | 2018-06-13
     001e0610f72c | 2017-09-24
     001e0610ee43 | 2018-11-27
     001e061183eb | 2018-12-30
     001e0610f703 | 2019-04-04
     001e0610ef27 | 2018-08-24
     001e0610ba15 | 2018-11-04
     001e0610ba01 | 2018-05-26
     001e0610f8f4 | 2018-04-05
     001E0610BA8B | 2018-07-24
     001e0611462f | 2018-11-13
     001e0610f6db | 2018-04-19
     001e06115382 | 2018-03-13
     001e0610fb4c | 2018-07-15
     001e0610c2e5 | 2019-02-21
     001e0610f8f4 | 2018-04-28
     001e06113107 | 2019-01-10
     001e0610ba3b | 2017-12-15
     001e0610e538 | 2018-04-05
     001e0610b9e5 | 2017-10-30
     001e0610ef26 | 2019-01-26
     001e0610b9e7 | 2017-09-24
     001e061146ba | 2018-10-29
     001e0610c5fa | 2018-01-27
     001e0611462f | 2019-05-03
 0000020000000002 | 1970-01-18
     001e06113107 | 2019-03-28
     001e06113cff | 2018-04-26
     001e06113ace | 2019-03-11
     001e0611441e | 2018-04-01
     001e0610b9e9 | 2018-11-23
     001e0611849e | 2019-04-03
     001e0610c2eb | 2017-12-08
 0000001e0610ba93 | 2017-05-31
 0000020000000008 | 2018-06-11
     001e0610e545 | 2019-05-01
 0000020000000007 | 2019-01-04
     001e0610e532 | 2018-03-15
     020000000008 | 2018-02-09
     020000000003 | 2017-10-11
     001e06114fcf | 2019-01-21
     001e0610ee36 | 2019-03-24
     001e061135c8 | 2017-11-14
     001e061146cb | 2018-09-29
     001e0610ba3b | 2018-03-27
     001e0610c040 | 2018-08-28
 0000001e0610ba5c | 2017-05-29
     001e0611536c | 2018-12-07
     001e0610ba3b | 2018-02-14
     001e0610bc12 | 2019-05-15
     001E0610BBF9 | 2019-02-13
     001e0610fb4c | 2018-08-12
     001e0610bbff | 2018-07-01
     001e0610c776 | 2018-10-24
     001e06107d70 | 2017-11-24
     001e0610e8a7 | 2017-09-28
     001e06109416 | 2018-09-14
     001e0610f732 | 2018-05-31
     001e0610f72c | 2018-12-18
     001e061144c0 | 2018-03-25
     001e0610f513 | 2018-05-02
     001e0610c2eb | 2017-12-20
     001e0610f703 | 2019-01-26
     001e06113d22 | 2018-09-17
     001e0610ef68 | 2018-09-26
     001e0610e532 | 2018-06-19
     001e0610ef66 | 2018-06-13
     001E06107FA0 | 2018-07-05
     001e06114fd4 | 2018-11-22
     001e06113ad8 | 2019-04-25
 0000001e06108a8a | 2017-08-18
     001e061130f7 | 2018-06-06
     001e061135cb | 2018-03-29
     001e06113cf1 | 2018-09-10
     001e0610e532 | 2018-09-06
     001E061088A6 | 2019-03-02
     001e0610eef6 | 2017-12-20
     001E061088A6 | 2018-08-16
     001e06117b41 | 2019-05-20
 0000001e0610bbff | 2017-05-02
 0000020000000007 | 2018-07-30
     001e0610b9e9 | 2018-01-18
     001e061184e3 | 2019-03-20
     001E0610BA3B | 2018-10-18
     001e0610c0ea | 2017-11-15
 0000001e06107d97 | 2017-04-19
     001e06109416 | 2018-07-12
     001e0610bc12 | 2019-03-23
     001e0611441e | 2018-04-25
     001e0610f6dd | 2019-04-06
     020000000007 | 2018-04-17
     001e0610f6db | 2019-01-10
